"T","R0"
28.7,130.718124217571
28.8,125.534445104693
28.9,120.218381280759
29,114.833684042346
29.1,109.487913996117
29.2,103.94219944404
29.3,98.4377107970108
29.4,93.0118352204522
29.5,87.4880377814869
29.6,82.0225093503757
29.7,76.5156238290496
29.8,71.103362795325
29.9,65.7716158483499
30,60.5140480350552
30.1,55.3206830487569
30.2,50.2414072504637
30.3,45.1784066651543
30.4,40.2457505028471
30.5,35.3671529974575
30.6,30.6879365930435
30.7,26.2534680910656
30.8,21.9146045567387
30.9,17.6779570634416
31,13.8910096751824
31.1,10.4488104932287
31.2,7.20605883786677
31.3,4.38048891318384
31.4,2.03151852622457
31.5,0.427825359634973
31.6,0
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,0
33.9,0
34,0
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,0
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
