"traits","mean","median","HDI_95_lower","HDI_95_upper"
"PDR10",0.359153598882961,0.360652514556382,0.195654339871433,0.474786408073376
"PDR50",0.285988730385258,0.294888474275512,0.178690002820224,0.354389496877319
"PDR90",0.230674483106038,0.233237159326871,0.134533674965412,0.308968808647017
